NAME,ADDRESS
자곡퍼스트동물의료센터,"서울특별시 강남구 자곡로 114, 서강플라자 2층 201호 (자곡동)"
튼튼동물병원,"서울특별시 강남구 압구정로 151, 상가 1동 201호 (압구정동, 현대아파트)"
하나카동물병원,"서울특별시 강남구 역삼로 138, 동광빌딩 1층 (역삼동)"
에이드 동물병원,"서울특별시 강남구 논현로 813, 영석빌딩 지하1층,1층 (신사동)"
대치동물메디컬센터,"서울특별시 강남구 도곡로 520, 무진빌딩 1층 (대치동)"
청담리덴동물치과병원,"서울특별시 강남구 도산대로 540, 301호 (청담동)"
아이힐 동물병원,"서울특별시 강남구 도곡로 115, 거암빌딩 2층 (역삼동)"
우리동생 동물병원,"서울특별시 강남구 학동로81길 9, 103호 (청담동)"
커비동물병원,"서울특별시 강남구 강남대로122길 47, 보령빌딩 1층 104호 (논현동)"
대성동물약품병원,"서울특별시 강남구 논현로28길 37, 보석빌딩 202호 (도곡동)"
스마트 정형외과 신경외과 동물병원,"서울특별시 강남구 도산대로 213, 2층 (신사동)"
임재성동물의료센터,"서울특별시 강남구 일원로9길 74, 1층, 지하1층 (일원동)"
