,선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
42,배제성,KT,10,7,0,0,0,26,26,141.1,5.29,4.84,0.76,0.268,74,3.95,4.75,5.18,5.38,1.25
43,핀토,SK,6,15,0,0,0,30,30,162,6.22,5,1.06,0.336,65.3,6.17,1.55,5.51,5.65,1.23
44,김진성,NC,3,0,0,6,1,48,0,47.1,10.65,1.9,0.76,0.311,77.1,2.66,1.59,2.86,2.36,1.2
45,김영규,NC,2,2,0,1,0,20,13,67.2,7.32,1.86,1.6,0.335,63.3,5.45,0.92,4.94,4.81,1.19
46,전상현,KIA,2,2,15,13,2,47,0,47.2,12.08,4.15,0.76,0.295,70,2.45,1.07,3.35,2.84,1.11
47,오승환,삼성,3,2,18,2,4,45,0,47.2,7.36,2.83,0.38,0.302,80.8,2.64,2.24,3.53,3.43,1.08
48,진해수,LG,4,2,0,22,4,76,0,50,10.62,4.14,0.54,0.367,70.3,4.32,0.33,3.47,3.14,1.08
49,최원태,Hero,7,6,0,0,0,21,21,110,5.48,3.03,1.31,0.285,66.6,5.07,1.75,5.37,5.48,1.07
50,이민우,KIA,6,10,0,0,0,22,22,106,5.69,3.99,0.93,0.336,57,6.79,-0.18,5.14,5.28,1.02
51,원태인,삼성,6,10,0,0,0,27,26,140,5.01,3.6,1.22,0.308,70.8,4.89,2.84,5.47,5.63,1.02
52,김태훈,Hero,7,0,0,10,2,53,2,64,5.62,3.09,0.14,0.33,65.9,4.22,0.93,3.73,3.82,0.98
53,김민규,두산,1,2,1,0,1,29,4,53.1,9.11,3.71,0.51,0.299,61.9,4.89,1.2,3.55,3.33,0.97
54,박진형,롯데,1,4,0,17,3,53,0,42.2,10.55,2.74,1.48,0.412,72.8,5.7,0.54,4.4,4.03,0.93
55,채드벨,한화,2,8,0,0,0,16,16,77,7.13,4.09,1.17,0.325,64,5.96,0.89,5.18,5.19,0.88
